,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,1,25.0,45,Tetsuta NAGASHIMA,JPN,Red Bull KTM Ajo,Kalex,161.3,40'00.192
1,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,2,20.0,7,Lorenzo BALDASSARRI,ITA,Flexbox HP 40,Kalex,161.2,+1.347
2,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,3,16.0,33,Enea BASTIANINI,ITA,Italtrans Racing Team,Kalex,161.2,+1.428
3,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,4,13.0,16,Joe ROBERTS,USA,American Racing,Kalex,161.2,+1.559
4,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,5,11.0,87,Remy GARDNER,AUS,Onexox TKKR SAG Team,Kalex,161.2,+1.901
5,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,6,10.0,9,Jorge NAVARRO,SPA,Beta Tools Speed Up,Speed Up,161.2,+2.381
6,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,7,9.0,23,Marcel SCHROTTER,GER,Liqui Moly Intact GP,Kalex,161.0,+4.490
7,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,8,8.0,44,Aron CANET,SPA,Aspar Team,Speed Up,161.0,+4.703
8,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,9,7.0,97,Xavi VIERGE,SPA,Petronas Sprinta Racing,Kalex,160.9,+7.118
9,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,10,6.0,12,Thomas LUTHI,SWI,Liqui Moly Intact GP,Kalex,160.7,+8.904
10,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,11,5.0,64,Bo BENDSNEYDER,NED,NTS RW Racing GP,NTS,160.7,+9.730
11,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,12,4.0,72,Marco BEZZECCHI,ITA,SKY Racing Team VR46,Kalex,160.6,+11.410
12,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,13,3.0,21,Fabio DI GIANNANTONIO,ITA,Beta Tools Speed Up,Speed Up,160.5,+12.701
13,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,14,2.0,96,Jake DIXON,GBR,Petronas Sprinta Racing,Kalex,160.5,+12.717
14,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,15,1.0,62,Stefano MANZI,ITA,MV Agusta Forward Racing,MV Agusta,160.3,+16.208
15,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,16,0.0,57,Edgar PONS,SPA,Federal Oil Gresini Moto2,Kalex,160.3,+16.256
16,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,17,0.0,40,Hector GARZO,SPA,Flexbox HP 40,Kalex,160.2,+16.869
17,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,18,0.0,11,Nicolo BULEGA,ITA,Federal Oil Gresini Moto2,Kalex,160.2,+16.932
18,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,19,0.0,55,Hafizh SYAHRIN,MAL,Aspar Team,Speed Up,160.0,+19.639
19,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,20,0.0,88,Jorge MARTIN,SPA,Red Bull KTM Ajo,Kalex,160.0,+20.662
20,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,21,0.0,24,Simone CORSI,ITA,MV Agusta Forward Racing,MV Agusta,159.5,+27.291
21,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,22,0.0,27,Andi Farid IZDIHAR,INA,IDEMITSU Honda Team Asia,Kalex,159.0,+34.514
22,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,23,0.0,2,Jesko RAFFIN,SWI,NTS RW Racing GP,NTS,159.0,+34.664
23,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,24,0.0,19,Lorenzo DALLA PORTA,ITA,Italtrans Racing Team,Kalex,158.3,+45.850
24,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,25,0.0,35,Somkiat CHANTRA,THA,IDEMITSU Honda Team Asia,Kalex,148.0,1 Lap
25,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,crash,0.0,10,Luca MARINI,ITA,SKY Racing Team VR46,Kalex,160.6,1 Lap
26,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,crash,0.0,99,Kasma DANIEL,MAL,Onexox TKKR SAG Team,Kalex,157.8,12 Laps
27,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,crash,0.0,37,Augusto FERNANDEZ,SPA,"EG 0,0 Marc VDS",Kalex,156.3,18 Laps
28,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,08,2020",Dry,26º,22º,66%,crash,0.0,42,Marcos RAMIREZ,SPA,American Racing,Kalex,105.6,19 Laps
29,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,1,25.0,75,Albert ARENAS,SPA,Aspar Team Gaviota,KTM,152.3,38'08.941
30,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,2,20.0,17,John MCPHEE,GBR,Petronas Sprinta Racing,Honda,152.3,+0.053
31,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,3,16.0,79,Ai OGURA,JPN,Honda Team Asia,Honda,152.2,+0.344
32,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,4,13.0,5,Jaume MASIA,SPA,Leopard Racing,Honda,152.2,+0.247
33,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,5,11.0,24,Tatsuki SUZUKI,JPN,SIC58 Squadra Corse,Honda,152.2,+0.789
34,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,6,10.0,2,Gabriel RODRIGO,ARG,Kömmerling Gresini Moto3,Honda,152.2,+0.426
35,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,7,9.0,52,Jeremy ALCOBA,SPA,Kömmerling Gresini Moto3,Honda,152.2,+0.559
36,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,8,8.0,12,Filip SALAC,CZE,Rivacold Snipers Team,Honda,152.2,+0.823
37,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,9,7.0,7,Dennis FOGGIA,ITA,Leopard Racing,Honda,152.2,+0.964
38,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,10,6.0,25,Raul FERNANDEZ,SPA,Red Bull KTM Ajo,KTM,152.2,+0.834
39,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,11,5.0,11,Sergio GARCIA,SPA,"Estrella Galicia 0,0",Honda,152.2,+1.261
40,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,12,4.0,53,Deniz ÖNCÜ,TUR,Red Bull KTM Tech 3,KTM,152.2,+1.485
41,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,13,3.0,21,Alonso LOPEZ,SPA,Sterilgarda Max Racing Team,Husqvarna,152.2,+1.602
42,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,14,2.0,27,Kaito TOBA,JPN,Red Bull KTM Ajo,KTM,152.1,+2.790
43,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,15,1.0,14,Tony ARBOLINO,ITA,Rivacold Snipers Team,Honda,152.1,+2.575
44,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,16,0.0,16,Andrea MIGNO,ITA,SKY Racing Team VR46,KTM,152.0,+3.180
45,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,17,0.0,55,Romano FENATI,ITA,Sterilgarda Max Racing Team,Husqvarna,151.9,+5.802
46,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,18,0.0,92,Yuki KUNII,JPN,Honda Team Asia,Honda,151.9,+5.829
47,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,19,0.0,71,Ayumu SASAKI,JPN,Red Bull KTM Tech 3,KTM,151.9,+6.109
48,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,20,0.0,6,Ryusei YAMANAKA,JPN,"Estrella Galicia 0,0",Honda,151.7,+8.457
49,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,21,0.0,99,Carlos TATAY,SPA,Reale Avintia Racing,KTM,151.7,+8.480
50,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,22,0.0,82,Stefano NEPA,ITA,Aspar Team Gaviota,KTM,151.2,+16.240
51,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,23,0.0,9,Davide PIZZOLI,ITA,BOE Skull Rider Facile Energy,KTM,150.8,+21.450
52,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,24,0.0,54,Riccardo ROSSI,ITA,BOE Skull Rider Facile Energy,KTM,150.5,+26.209
53,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,25,0.0,50,Jason DUPASQUIER,SWI,CarXpert PruestelGP,KTM,150.5,+26.412
54,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,26,0.0,89,Khairul Idham PAWI,MAL,Petronas Sprinta Racing,Honda,150.4,+28.189
55,2020,QAT,QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,"March,08,2020",Dry,32º,25º,48%,27,0.0,73,Maximilian KOFLER,AUT,CIP Green Power,KTM,150.4,+28.517
